transaction_id,customer_id,transaction_date,transaction_amount
133,102,2025-12-15,125.21
134,304,2025-12-02,106.77
135,273,2025-11-21,14.64
136,394,2025-12-08,23.69
137,129,2025-10-12,18.18
138,160,2025-12-27,5.23
139,213,2025-12-08,28.61
140,389,2025-08-10,49.9
141,250,2025-08-25,14.37
142,78,2025-12-03,56.77
143,12,2025-11-10,6.01
144,27,2025-10-13,32.58
145,36,2025-10-31,25.06
146,166,2025-09-29,13.64
147,40,2025-10-18,22.23
148,228,2025-12-25,31.81
149,229,2025-09-14,6.43
150,379,2025-09-06,21.88
151,126,2025-10-28,16.17
152,248,2025-12-16,52.75
153,301,2025-10-24,8.76
154,393,2025-09-09,7.25
155,107,2025-10-29,62.5
156,301,2025-12-01,24.71
157,182,2025-05-12,5.79
158,328,2025-09-13,12.25
159,138,2025-09-13,11.74
160,30,2025-02-13,12.62
161,157,2025-10-09,14.07
162,216,2025-01-16,6.9
163,86,2025-12-08,67.83
164,145,2025-08-20,62.08
165,204,2025-12-15,31.22
166,219,2025-12-30,37.07
167,340,2025-09-13,68.9
168,228,2025-09-21,25.35
169,159,2025-10-01,10.53
170,301,2025-09-25,8.3
171,274,2025-12-27,31.37
172,244,2025-09-19,59.54
173,356,2025-11-05,12.95
174,123,2025-05-15,27.21
175,395,2025-12-02,116.68
176,52,2025-12-20,5.06
177,103,2025-11-19,12.07
178,8,2025-07-11,24.33
179,351,2025-12-22,15.17
180,298,2025-10-12,12.22
181,391,2025-10-24,13.13
182,310,2025-11-27,5.96
183,110,2025-08-02,10.26
184,255,2025-12-10,43.16
185,295,2025-09-16,39.76
186,161,2025-10-14,36.2
187,25,2025-11-07,24.43
188,346,2025-02-20,32.57
189,56,2025-10-22,65.8
190,236,2025-12-31,148.17
191,387,2025-09-19,14.01
192,346,2025-06-10,5.74
193,201,2025-12-15,31.45
194,129,2025-12-31,14.61
195,107,2025-09-25,51.97
196,171,2025-09-28,55.57
197,394,2025-12-14,33.49
198,54,2025-11-09,23.65
199,69,2025-08-27,5.76
200,290,2025-08-12,7.73
201,328,2025-10-14,10.53
202,271,2025-11-17,10.86
203,274,2025-12-25,51.82
204,176,2025-11-21,7.68
205,274,2025-12-26,22.92
206,75,2025-04-25,8.08
207,260,2025-07-26,5.87
208,310,2025-12-14,27.81
209,73,2025-02-21,10.54
210,232,2025-11-21,9.14
211,57,2025-12-04,79.13
212,379,2025-08-24,19.24
213,193,2025-11-07,6.46
214,121,2025-10-05,8.0
215,53,2025-08-01,7.47
216,358,2025-12-15,26.45
217,102,2025-06-25,8.96
218,274,2025-12-29,25.77
219,102,2025-06-23,14.47
220,143,2025-12-21,14.65
221,228,2025-10-13,30.82
222,172,2025-11-22,35.41
223,288,2025-09-09,10.64
224,397,2025-12-26,28.75
225,338,2025-12-25,12.98
226,49,2025-12-20,71.8
227,360,2025-12-20,21.05
228,112,2025-12-23,24.42
229,327,2025-11-25,25.02
230,368,2025-12-04,34.77
231,260,2025-12-09,37.86
232,76,2025-09-11,23.88
233,32,2025-12-02,103.21
234,310,2025-11-22,7.59
235,370,2025-12-25,32.19
236,159,2025-12-17,26.58
237,362,2025-05-29,5.25
238,74,2025-07-23,39.04
239,85,2025-12-14,89.92
240,223,2025-06-27,20.17
241,351,2025-12-02,25.95
242,330,2025-09-06,5.45
243,83,2025-02-08,65.92
244,120,2025-12-26,6.74
245,115,2025-12-06,38.96
246,165,2025-09-28,19.66
247,313,2025-10-04,11.14
248,142,2025-12-19,24.72
249,155,2025-12-21,12.04
250,44,2025-12-29,13.72
251,135,2025-10-16,9.58
252,187,2025-12-19,30.98
253,282,2025-09-23,23.7
254,335,2025-12-08,11.74
255,213,2025-12-27,31.8
256,224,2025-11-09,6.17
257,270,2025-04-16,25.46
258,103,2025-11-05,19.64
259,393,2025-12-31,77.23
260,125,2025-12-16,7.89
261,135,2025-10-03,64.78
262,257,2025-11-28,19.88
263,278,2025-12-27,27.37
264,356,2025-10-13,26.1
265,121,2025-04-08,34.9
266,158,2025-10-16,7.25
267,207,2025-12-25,62.63
268,358,2025-11-22,29.32
269,193,2025-11-23,33.92
270,321,2025-11-16,9.25
271,176,2025-08-07,41.29
272,187,2025-11-13,43.48
273,86,2025-10-07,12.38
274,253,2025-12-30,25.7
275,104,2025-09-08,72.22
276,253,2025-12-27,10.39
277,231,2025-12-15,10.73
278,374,2025-12-18,45.42
279,298,2025-10-18,140.69
280,94,2025-11-04,49.99
281,229,2025-09-17,67.05
282,355,2025-12-08,21.72
283,300,2025-08-30,30.84
284,65,2025-12-18,21.96
285,266,2025-11-30,102.91
286,4,2025-04-06,26.46
287,257,2025-12-02,55.91
288,309,2025-12-21,7.69
289,205,2025-08-08,18.26
290,352,2025-10-14,70.49
291,34,2025-11-24,35.92
292,12,2025-10-26,46.32
293,332,2025-05-06,109.95
294,99,2025-11-06,13.74
295,196,2025-03-26,21.26
296,268,2025-12-28,46.62
297,289,2025-11-21,11.99
298,166,2025-08-31,32.59
299,2,2025-06-19,18.32
300,161,2025-11-11,15.23
301,247,2025-12-24,13.6
302,99,2025-09-23,8.83
303,73,2025-04-01,13.81
304,103,2025-09-16,70.13
305,101,2025-10-26,90.0
306,388,2025-12-29,11.5
307,321,2025-10-22,30.7
308,111,2025-09-19,26.06
309,157,2025-03-22,45.6
310,93,2025-11-18,23.79
311,309,2025-08-12,49.91
312,57,2025-06-28,30.0
313,205,2025-03-02,66.34
314,215,2025-11-22,27.74
315,286,2025-06-15,34.6
316,170,2025-09-20,21.03
317,50,2025-12-27,40.48
318,260,2025-08-19,13.61
319,304,2025-12-01,19.32
320,344,2025-07-27,5.68
321,187,2025-10-10,5.6
322,290,2025-11-12,12.13
323,300,2025-09-23,17.06
324,391,2025-11-25,21.94
325,222,2025-08-22,20.08
326,113,2025-09-05,10.86
327,45,2025-08-09,33.25
328,170,2025-02-08,14.25
329,85,2025-09-09,16.38
330,126,2025-05-24,6.37
331,9,2025-05-12,23.67
332,377,2025-10-25,6.27
333,193,2025-09-21,41.17
334,309,2025-08-01,21.57
335,53,2025-10-10,24.0
336,360,2025-12-31,24.19
337,182,2025-03-21,66.96
338,85,2025-07-13,15.06
339,10,2025-11-22,8.64
340,110,2025-07-01,140.02
341,303,2025-09-06,9.16
342,228,2025-10-08,62.86
343,87,2025-12-29,16.32
344,160,2025-12-26,16.15
345,292,2025-03-09,74.64
346,223,2025-06-19,9.57
347,266,2025-10-28,12.85
348,172,2025-12-10,39.3
349,141,2025-12-30,70.42
350,175,2025-05-20,9.1
351,166,2025-09-29,13.4
352,8,2025-09-09,11.57
353,219,2025-12-29,14.83
354,303,2025-11-13,148.08
355,106,2025-12-30,5.44
356,165,2025-10-28,37.39
357,335,2025-12-24,5.96
358,101,2025-10-25,42.99
359,43,2025-12-27,18.27
360,209,2025-08-21,77.04
361,288,2025-08-21,7.72
362,52,2025-08-22,12.7
363,76,2025-08-18,9.5
364,224,2025-12-16,8.58
365,152,2025-10-03,7.65
366,87,2025-12-22,11.86
367,30,2025-04-27,53.11
368,62,2025-11-26,8.56
369,371,2025-09-22,21.5
370,126,2025-04-08,139.82
371,400,2025-09-25,6.02
372,104,2025-08-18,13.3
373,159,2025-09-27,9.01
374,57,2025-12-16,37.94
375,52,2025-07-07,93.84
376,324,2025-05-08,13.47
377,236,2025-12-16,9.61
378,123,2025-12-23,33.11
379,359,2025-06-26,25.67
380,255,2025-12-06,51.0
381,326,2025-11-03,11.19
382,175,2025-08-02,37.07
383,348,2025-03-05,8.83
384,303,2025-08-31,34.93
385,177,2025-11-10,118.06
386,14,2025-08-03,54.36
387,396,2025-12-28,10.66
388,229,2025-10-23,5.26
389,158,2025-09-12,71.14
390,41,2025-12-09,34.17
391,166,2025-06-23,11.57
392,191,2025-12-13,76.69
393,40,2025-10-29,39.57
394,282,2025-09-04,149.41
395,125,2025-11-22,8.18
396,257,2025-11-29,23.79
397,106,2025-12-26,138.57
398,357,2025-12-24,9.9
399,62,2025-06-11,7.19
400,386,2025-12-16,14.18
401,144,2025-08-17,6.77
402,231,2025-09-23,10.87
403,106,2025-12-11,74.43
404,51,2025-11-01,31.55
405,72,2025-12-19,6.36
406,114,2025-11-07,78.43
407,226,2025-08-27,29.05
408,256,2025-12-12,35.36
409,273,2025-11-12,22.36
410,127,2025-11-24,146.41
411,286,2025-11-01,11.02
412,159,2025-09-20,89.85
413,53,2025-05-30,8.2
414,61,2025-12-30,23.39
415,9,2025-07-03,11.93
416,253,2025-12-23,68.82
417,36,2025-11-18,25.49
418,121,2025-09-24,24.47
419,397,2025-12-30,9.79
420,161,2025-09-26,34.98
421,27,2025-07-27,7.61
422,74,2025-03-31,13.88
423,117,2025-02-21,37.45
424,65,2025-12-10,30.34
425,351,2025-12-25,14.42
426,120,2025-12-22,46.28
427,72,2025-12-19,6.9
428,394,2025-12-12,22.44
429,68,2025-05-14,28.74
430,356,2025-06-01,5.04
431,58,2025-06-08,65.0
432,348,2025-05-15,7.07
433,209,2025-07-06,17.89
434,290,2025-10-25,31.53
435,62,2025-11-08,19.62
436,275,2025-11-04,5.45
437,321,2025-11-06,13.37
438,43,2025-12-23,66.7
439,57,2025-08-16,56.56
440,162,2025-10-07,8.87
441,383,2025-09-13,128.09
442,346,2025-11-12,59.05
443,54,2025-09-16,68.57
444,364,2025-12-11,72.02
445,109,2025-06-10,111.43
446,121,2025-06-13,45.05
447,305,2025-12-10,110.48
448,109,2025-08-20,12.27
449,47,2025-12-30,24.93
450,232,2025-10-24,37.93
451,10,2025-12-27,29.69
452,303,2025-08-08,18.7
453,72,2025-12-04,17.52
454,206,2025-12-28,75.12
455,188,2025-09-13,29.3
456,345,2025-03-08,9.03
457,292,2025-02-21,36.97
458,169,2025-12-21,38.02
459,268,2025-07-16,12.94
460,223,2025-05-26,74.33
461,69,2025-12-16,8.0
462,322,2025-12-23,50.78
463,301,2025-12-13,19.7
464,154,2025-09-05,33.99
465,270,2025-03-03,18.97
466,223,2025-09-19,34.51
467,385,2025-10-28,6.93
468,143,2025-05-19,9.56
469,260,2025-06-19,13.24
470,367,2025-10-16,18.1
471,24,2025-11-15,29.85
472,127,2025-12-24,23.74
473,118,2025-06-20,32.22
474,205,2025-03-03,19.07
475,155,2025-12-31,7.25
476,147,2025-12-09,27.83
477,8,2025-11-19,65.89
478,8,2025-07-14,13.05
479,217,2025-07-19,24.41
480,252,2025-12-19,9.67
481,379,2025-12-18,17.56
482,370,2025-11-18,29.84
483,204,2025-12-05,27.04
484,244,2025-09-24,36.54
485,186,2025-10-18,10.17
486,171,2025-12-22,13.57
487,293,2025-08-08,33.03
488,359,2025-09-02,9.19
489,282,2025-03-25,39.87
490,138,2025-10-20,20.56
491,390,2025-12-17,76.26
492,257,2025-12-30,6.7
493,132,2025-10-12,6.28
494,184,2025-12-30,70.52
495,133,2025-10-05,20.56
496,160,2025-12-24,56.82
497,236,2025-12-24,7.94
498,86,2025-12-06,11.34
499,50,2025-12-20,60.02
500,275,2025-12-15,5.54
501,111,2025-07-11,103.99
502,335,2025-10-08,12.16
503,55,2025-11-18,14.87
504,224,2025-11-01,7.74
505,123,2025-12-25,59.58
506,61,2025-08-22,30.84
507,293,2025-10-03,106.83
508,29,2025-11-05,8.73
509,11,2025-11-13,61.24
510,14,2025-10-18,12.34
511,161,2025-12-03,52.48
512,73,2025-08-23,22.65
513,45,2025-03-27,7.91
514,379,2025-12-11,25.84
515,101,2025-08-10,114.31
516,136,2025-08-31,144.27
517,293,2025-03-07,12.27
518,99,2025-07-17,29.74
519,123,2025-05-07,31.26
520,29,2025-10-16,50.23
521,390,2025-12-15,14.95
522,76,2025-12-24,41.93
523,85,2025-08-30,18.09
524,180,2025-11-09,20.14
525,8,2025-08-23,17.52
526,379,2025-09-19,32.52
527,303,2025-08-06,30.44
528,204,2025-11-11,59.91
529,143,2025-09-01,78.92
530,257,2025-12-24,5.39
531,359,2025-08-11,27.02
532,168,2025-05-05,5.89
533,77,2025-12-31,5.9
534,370,2025-09-03,17.53
535,183,2025-12-30,14.89
536,211,2025-10-07,17.5
537,126,2025-04-13,54.41
538,224,2025-12-18,17.37
539,34,2025-11-18,66.53
540,124,2025-11-11,25.94
541,193,2025-09-14,23.57
542,83,2025-08-21,26.41
543,281,2025-12-25,65.95
544,121,2025-04-23,12.26
545,115,2025-11-21,29.77
546,320,2025-09-25,34.48
547,22,2025-11-04,27.2
548,298,2025-12-06,7.62
549,224,2025-10-26,31.95
550,160,2025-12-31,23.46
551,383,2025-12-24,11.62
552,177,2025-10-03,11.76
553,281,2025-12-04,62.33
554,39,2025-02-16,18.92
555,342,2025-10-10,42.99
556,356,2025-08-26,14.7
557,37,2025-11-14,11.43
558,293,2025-06-26,9.44
559,327,2025-03-09,57.88
560,86,2025-12-13,15.44
561,293,2025-09-25,10.49
562,62,2025-12-16,30.48
563,216,2025-09-26,31.36
564,332,2025-08-01,16.36
565,160,2025-12-28,29.0
566,345,2025-08-22,17.85
567,159,2025-08-25,13.3
568,209,2025-11-03,32.55
569,34,2025-11-28,35.55
570,297,2025-12-27,6.96
571,87,2025-12-27,13.25
572,138,2025-12-07,12.57
573,34,2025-12-28,63.55
574,328,2025-10-06,38.9
575,101,2025-09-19,12.36
576,313,2025-11-18,71.24
577,127,2025-12-31,13.15
578,74,2025-09-08,30.15
579,229,2025-11-22,56.75
580,177,2025-08-11,23.57
581,210,2025-11-18,45.53
582,371,2025-10-24,61.91
583,224,2025-11-21,11.24
584,208,2025-11-23,45.31
585,129,2025-10-03,30.92
586,85,2025-11-26,27.01
587,301,2025-12-31,36.03
588,206,2025-12-24,60.91
589,20,2025-08-13,11.7
590,143,2025-09-03,46.44
591,206,2025-12-19,5.62
592,211,2025-09-22,41.29
593,330,2025-07-13,31.89
594,160,2025-12-24,24.72
595,370,2025-10-27,16.17
596,275,2025-11-09,34.7
597,224,2025-10-31,7.51
598,322,2025-12-27,11.34
599,266,2025-12-17,30.08
600,140,2025-12-04,39.59
601,52,2025-08-18,131.46
602,87,2025-12-27,7.79
603,188,2025-07-10,13.46
604,5,2025-11-27,38.44
605,30,2025-03-26,63.88
606,215,2025-12-10,62.01
607,51,2025-10-18,38.92
608,379,2025-07-29,46.37
609,396,2025-12-31,23.74
610,155,2025-12-28,8.61
611,157,2025-12-19,39.92
612,8,2025-05-19,26.14
613,172,2025-10-17,23.02
614,83,2025-08-13,12.24
615,20,2025-10-21,55.0
616,369,2025-10-26,22.41
617,139,2025-10-18,38.71
618,121,2025-11-27,30.67
619,153,2025-11-19,56.97
620,74,2025-06-07,32.57
621,315,2025-08-22,18.84
622,337,2025-09-29,5.73
623,129,2025-12-17,5.7
624,162,2025-07-24,26.28
625,295,2025-09-09,8.9
626,86,2025-12-22,12.2
627,44,2025-12-29,13.48
628,257,2025-12-30,12.87
629,215,2025-12-17,12.65
630,320,2025-11-15,31.52
631,345,2025-05-08,18.41
632,286,2025-10-21,11.34
633,213,2025-12-31,38.74
634,106,2025-12-11,10.73
635,288,2025-12-07,17.13
636,153,2025-12-06,14.06
637,371,2025-10-04,7.21
638,180,2025-10-04,11.71
639,39,2025-11-19,28.74
640,208,2025-10-18,6.97
641,354,2025-12-25,31.78
642,168,2025-05-30,5.7
643,140,2025-12-06,23.21
644,217,2025-12-25,10.67
645,225,2025-10-30,8.13
646,159,2025-12-14,8.59
647,236,2025-12-28,23.97
648,217,2025-11-05,19.39
649,55,2025-08-04,45.6
650,393,2025-04-20,13.86
651,53,2025-03-08,73.98
652,24,2025-12-29,34.23
653,154,2025-02-27,28.59
654,394,2025-12-19,18.72
655,286,2025-05-09,63.58
656,208,2025-10-27,27.76
657,290,2025-08-31,31.57
658,120,2025-12-27,26.16
659,129,2025-10-19,126.16
660,108,2025-12-23,38.48
661,30,2025-04-29,49.27
662,188,2025-09-09,11.69
663,378,2025-10-23,37.95
664,34,2025-11-20,102.68
665,379,2025-12-21,73.39
666,187,2025-09-29,24.46
667,53,2025-10-20,14.73
668,160,2025-12-17,35.43
669,248,2025-12-30,75.49
670,7,2025-09-18,57.6
671,164,2025-09-05,22.02
672,110,2025-07-05,11.02
673,86,2025-10-05,23.26
674,83,2025-10-01,26.98
675,117,2025-12-11,40.9
676,32,2025-09-23,19.03
677,371,2025-09-21,45.87
678,121,2025-07-07,60.67
679,295,2025-10-22,124.63
680,205,2025-04-01,11.07
681,344,2025-11-09,13.3
682,107,2025-12-29,47.28
683,370,2025-10-21,11.86
684,331,2025-12-30,20.75
685,281,2025-12-03,7.02
686,367,2025-12-29,18.74
687,68,2025-06-16,30.37
688,29,2025-12-19,60.13
689,86,2025-08-31,18.26
690,394,2025-12-30,14.38
691,310,2025-12-19,36.87
692,388,2025-10-21,13.02
693,275,2025-10-30,33.53
694,69,2025-08-24,9.77
695,166,2025-12-19,10.98
696,396,2025-12-23,5.05
697,7,2025-10-27,27.99
698,271,2025-09-20,22.9
699,261,2025-05-20,11.52
700,180,2025-10-13,56.94
701,264,2025-12-22,107.82
702,145,2025-08-24,28.94
703,129,2025-08-30,27.09
704,219,2025-12-31,12.05
705,103,2025-11-26,7.3
706,117,2025-03-06,9.01
707,245,2025-11-21,32.43
708,38,2025-07-19,30.9
709,62,2025-12-24,14.26
710,315,2025-08-26,7.22
711,54,2025-03-17,38.27
712,292,2025-12-13,22.16
713,41,2025-11-01,25.97
714,144,2025-12-30,116.27
715,140,2025-11-18,60.42
716,165,2025-11-21,5.36
717,170,2025-12-11,6.57
718,197,2025-12-10,24.88
719,143,2025-04-27,16.72
720,62,2025-10-15,13.3
721,252,2025-12-16,99.36
722,140,2025-12-15,63.0
723,186,2025-09-16,17.66
724,51,2025-12-04,14.47
725,371,2025-10-18,72.53
726,178,2025-12-31,119.42
727,172,2025-11-24,112.12
728,337,2025-04-27,21.45
729,275,2025-09-27,20.75
730,225,2025-10-28,116.16
731,8,2025-08-03,5.93
732,247,2025-06-17,19.46
733,224,2025-12-09,10.74
734,133,2025-07-23,19.99
735,171,2025-12-15,7.29
736,177,2025-11-07,34.47
737,87,2025-12-22,31.59
738,7,2025-10-09,139.36
739,268,2025-12-16,13.98
740,196,2025-10-16,12.64
741,370,2025-10-25,33.75
742,96,2025-09-07,25.58
743,394,2025-12-05,24.84
744,126,2025-11-13,128.88
745,337,2025-09-21,15.3
746,153,2025-12-10,23.14
747,184,2025-12-21,20.93
748,344,2025-12-12,6.84
749,306,2025-07-21,33.8
750,262,2025-09-12,6.8
751,99,2025-10-18,35.35
752,194,2025-12-03,36.41
753,141,2025-12-11,69.54
754,345,2025-02-21,10.0
755,377,2025-11-08,52.0
756,36,2025-11-19,6.63
757,156,2025-06-02,30.75
758,328,2025-12-18,8.61
759,183,2025-07-30,6.21
760,142,2025-10-09,99.92
761,232,2025-12-23,33.41
762,54,2025-09-09,26.59
763,108,2025-07-30,38.21
764,304,2025-12-28,37.68
765,54,2025-05-19,8.13
766,209,2025-12-14,11.45
767,194,2025-12-16,77.55
768,379,2025-11-04,19.6
769,19,2025-12-03,31.55
770,54,2025-06-13,6.03
771,44,2025-12-26,15.66
772,290,2025-11-21,43.33
773,187,2025-09-24,14.32
774,284,2025-08-23,12.38
775,322,2025-12-14,10.27
776,124,2025-10-03,8.57
777,232,2025-12-14,36.77
778,195,2025-12-27,14.48
779,394,2025-12-09,26.41
780,315,2025-12-16,28.34
781,250,2025-11-17,35.12
782,322,2025-11-23,21.5
783,216,2025-01-14,13.15
784,102,2025-07-16,10.35
785,356,2025-11-14,12.66
786,209,2025-11-15,5.07
787,270,2025-05-10,29.01
788,289,2025-10-03,12.37
789,284,2025-09-27,5.79
790,170,2025-10-01,76.4
791,195,2025-12-17,28.3
792,193,2025-12-05,5.68
793,102,2025-06-18,9.55
794,330,2025-08-25,27.3
795,229,2025-07-20,14.7
796,19,2025-12-06,99.75
797,94,2025-11-08,15.21
798,62,2025-07-05,7.17
799,304,2025-11-24,59.94
800,268,2025-11-06,15.79
801,55,2025-05-27,12.76
802,50,2025-12-29,19.8
803,178,2025-12-31,44.88
804,177,2025-09-08,57.72
805,27,2025-06-08,34.27
806,379,2025-12-29,113.1
807,223,2025-06-17,12.28
808,400,2025-12-04,9.81
809,213,2025-11-04,16.3
810,157,2025-04-04,9.34
811,11,2025-10-24,63.39
812,289,2025-12-12,14.69
813,346,2025-11-24,12.71
814,177,2025-07-12,32.15
815,245,2025-12-24,133.17
816,42,2025-08-21,18.85
817,391,2025-12-28,9.88
818,226,2025-12-03,70.27
819,320,2025-09-28,8.78
820,101,2025-07-18,59.41
821,320,2025-12-31,11.97
822,138,2025-11-18,8.48
823,341,2025-08-07,63.95
824,117,2025-02-18,26.23
825,187,2025-11-17,34.4
826,368,2025-11-24,37.07
827,262,2025-12-17,23.02
828,44,2025-12-28,47.59
829,359,2025-11-07,7.83
830,297,2025-12-29,10.23
831,47,2025-12-30,45.19
832,25,2025-11-21,6.92
833,25,2025-12-15,28.15
834,183,2025-03-01,30.15
835,50,2025-10-22,94.61
836,356,2025-04-24,30.97
837,260,2025-12-20,37.26
838,266,2025-10-10,50.63
839,30,2025-02-12,43.12
840,156,2025-10-15,12.25
841,389,2025-08-11,10.26
842,177,2025-10-25,19.47
843,300,2025-04-14,63.06
844,335,2025-12-18,37.07
845,121,2025-05-28,27.62
846,114,2025-12-27,111.01
847,254,2025-08-16,39.92
848,268,2025-10-24,57.22
849,231,2025-12-02,10.46
850,271,2025-12-17,50.16
851,330,2025-10-09,80.01
852,27,2025-07-22,27.94
853,215,2025-11-09,7.22
854,225,2025-09-08,77.73
855,197,2025-12-29,29.27
856,113,2025-05-15,8.56
857,103,2025-08-17,29.55
858,166,2025-07-18,43.68
859,291,2025-11-11,69.37
860,232,2025-12-16,13.26
861,67,2025-09-07,13.08
862,275,2025-08-22,76.87
863,239,2025-11-09,57.37
864,87,2025-12-24,36.24
865,9,2025-09-01,10.24
866,228,2025-12-16,23.17
867,159,2025-10-03,12.32
868,288,2025-10-21,63.01
869,62,2025-07-23,34.66
870,109,2025-06-16,9.76
871,37,2025-12-05,17.13
872,362,2025-08-10,45.22
873,102,2025-09-24,27.2
874,141,2025-12-24,33.39
875,176,2025-07-24,12.77
876,231,2025-12-12,43.58
877,299,2025-11-17,19.76
878,248,2025-11-01,46.77
879,253,2025-12-28,72.11
880,108,2025-10-08,13.18
881,143,2025-10-28,12.28
882,57,2025-04-19,21.08
883,109,2025-09-04,11.94
884,77,2025-12-30,15.57
885,153,2025-12-30,10.46
886,184,2025-12-27,33.25
887,106,2025-12-30,15.46
888,386,2025-11-18,5.6
889,143,2025-09-05,11.55
890,8,2025-04-25,21.78
891,260,2025-05-04,13.67
892,281,2025-12-09,115.6
893,69,2025-12-25,13.67
894,389,2025-05-27,10.01
895,335,2025-11-30,40.86
896,176,2025-10-05,9.9
897,114,2025-04-07,8.52
898,215,2025-11-24,148.5
899,197,2025-10-27,36.97
900,24,2025-12-26,95.79
901,246,2025-12-21,17.19
902,275,2025-12-13,122.87
903,162,2025-09-02,6.53
904,223,2025-11-08,10.42
905,147,2025-12-21,10.41
906,144,2025-08-19,12.05
907,385,2025-07-09,37.73
908,108,2025-12-02,144.2
909,226,2025-07-31,38.72
910,86,2025-09-24,13.8
911,24,2025-11-25,56.56
912,298,2025-11-18,38.34
913,196,2025-04-25,44.27
914,134,2025-12-24,64.48
915,191,2025-12-22,29.91
916,165,2025-12-09,5.79
917,347,2025-06-15,30.12
918,270,2025-05-08,59.66
919,103,2025-07-22,5.32
920,11,2025-11-06,95.58
921,144,2025-09-05,14.27
922,320,2025-12-13,36.67
923,176,2025-09-09,16.05
924,274,2025-12-29,38.48
925,391,2025-11-24,32.6
926,29,2025-11-03,9.57
927,31,2025-12-28,116.31
928,289,2025-12-05,8.87
929,37,2025-06-05,8.98
930,216,2025-06-04,25.56
